customer_id,segment,campaign,channel,variant,sent_date,opened,clicked,responded,converted,campaign_cost,revenue,age,tenure_months,monthly_balance
1,Premier,Personal Loan,Mobile App,A,2025-03-07,0,0,0,0,0.31,0.0,37,146,75412
2,Premier,Insurance Cross-Sell,SMS,B,2025-01-12,1,1,1,0,0.19,0.0,18,29,252739
3,Premier,Wealth Advisory,Email,B,2025-05-07,0,0,0,0,0.21,0.0,40,58,60856
4,Premier,Savings Account,Mobile App,B,2025-02-25,0,0,0,0,0.29,0.0,29,21,47442
5,Premier,Credit Card Upgrade,SMS,B,2025-04-17,1,0,0,0,0.2,0.0,32,57,23620
6,Student,Credit Card Upgrade,SMS,B,2024-09-13,1,1,1,1,0.26,31.95,29,77,11643
7,Salary,Credit Card Upgrade,Email,B,2024-12-31,1,0,0,0,0.36,0.0,56,91,44393
8,Salary,Insurance Cross-Sell,SMS,A,2024-09-17,0,0,0,0,0.22,0.0,41,240,15077
9,Retail,Wealth Advisory,Email,B,2024-11-23,1,0,0,0,0.37,0.0,37,54,36575
10,Premier,Wealth Advisory,Email,A,2024-07-13,0,0,0,0,0.31,0.0,42,126,58415
11,Retail,Credit Card Upgrade,Call Center,B,2025-02-19,1,0,0,0,2.59,0.0,34,31,5000
12,Salary,Insurance Cross-Sell,SMS,A,2024-10-13,0,0,0,0,0.15,0.0,27,25,10657
13,Retail,Wealth Advisory,Mobile App,B,2024-09-24,0,0,0,0,0.21,0.0,39,37,5000
14,Premier,Credit Card Upgrade,SMS,A,2024-12-01,1,0,0,0,0.26,0.0,23,11,29918
15,Retail,Credit Card Upgrade,Email,B,2024-07-26,0,0,0,0,0.23,0.0,47,24,34103
16,Student,Credit Card Upgrade,Mobile App,A,2024-10-05,1,1,0,0,0.2,0.0,47,76,37117
17,Premier,Personal Loan,Email,B,2024-12-06,0,0,0,0,0.3,0.0,24,22,198607
18,Premier,Savings Account,Mobile App,A,2024-07-04,0,0,0,0,0.17,0.0,25,15,95106
19,Premier,Savings Account,SMS,B,2025-02-15,0,0,0,0,0.13,0.0,34,28,65955
20,Retail,Personal Loan,Email,A,2024-06-14,0,0,0,0,0.33,0.0,63,15,12028
